127.0.0.1 - - [12/Nov/2015:21:22:20 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:36 -0500] "GET /myproject-web/app HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/ HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/css/app.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/lib/angular/angular.js HTTP/1.1" 200 493434
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/lib/angular/angular-resource.js HTTP/1.1" 200 17163
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/js/app.js HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/js/services.js HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/js/filters.js HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/js/directives.js HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/js/controllers.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/partials/partial1.html HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:25:42 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:02:47 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:02:53 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:02 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:21 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/ HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/css/app.css HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/lib/angular/angular.js HTTP/1.1" 200 493434
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/js/filters.js HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/js/controllers.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/js/app.js HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/js/services.js HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/js/directives.js HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/lib/angular/angular-resource.js HTTP/1.1" 200 17163
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/partials/partial1.html HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Nov/2015:22:03:39 -0500] "GET /RESTfulExample/rest/users HTTP/1.1" 200 63
